Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,celltype,contrast,geneset
prerank,Oxidative Phosphorylation,0.7640314163672195,2.376465048769901,0.0,0.0,0.0,30/41,15.94%,ATP6V0C;MDH1;ATP6V1F;COX4I1;SLC25A4;ATP1B1;ATP6V1E1;ATP6V0B;ATP6V1G1;ATP5MC3;SLC25A3;PDP1;NDUFA4;ISCU;VDAC1;GPX4;LDHB;COX7A2L;ATP5F1B;NDUFA5;UQCRB;ATP5F1A;UQCRH;ATP6V1D;MTX2;CYCS;LRPPRC;SUCLA2;MGST3;NNT,Astrocyte,region_FX,hallmark
prerank,Oxidative Phosphorylation,0.7012670849564594,2.3588591102755485,0.0,0.0,0.0,31/40,20.89%,ATP6V0C;MGST3;ATP5MC3;UQCRB;UQCRH;NDUFA4;MDH1;ATP6V1G1;ATP5F1B;ATP1B1;GPX4;LDHB;CYCS;COX4I1;ATP6V1H;SLC25A3;ATP6V1F;ATP5F1A;SLC25A4;ATP6V1D;POLR2F;VDAC1;ATP6V1E1;LRPPRC;NDUFA5;ISCU;COX7A2L;ATP6V0B;VDAC3;GPI;ATP6V1C1,Pericyte,region_FX,hallmark
prerank,Protein Localization R-HSA-9609507,0.7089659531615641,2.3584131958713455,0.0,0.0,0.0,10/24,7.22%,ATP5F1A;UBC;ATP5F1B;VAPA;CHCHD2;CCNI;UBB;VDAC1;SLC25A4;CHCHD10,Inhibitory,region_MCX,reactome
prerank,MHC Class II Antigen Presentation R-HSA-2132295,0.6819991986872209,2.3563982245289417,0.0,0.0,0.0,20/29,20.34%,CLTA;RAB7A;CANX;DNM1;CTSB;DYNLL2;KIF5A;DYNC1I2;AP2M1;CLTC;SH3GL2;KIF3C;DYNC1H1;KLC1;KIF2A;DYNLL1;DYNC1LI2;KIFAP3;OSBPL1A;KIF3A,Inhibitory,region_MCX,reactome
prerank,Iron Uptake And Transport R-HSA-917937,0.6458098849709523,2.340066068554631,0.0,0.0019435623479932454,0.001,19/24,26.78%,UBB;SLC22A17;ATP6V1A;FTL;ATP6V0B;SKP1;UBC;ATP6V1G1;ATP6V1F;ATP6V1B2;ATP6V0E2;ATP6V1C1;FTH1;CAND1;ATP6V1H;ATP6V0A1;CUL1;ATP6V1E1;TFRC,Neuron,interaction_FX,reactome
prerank,HSF1-dependent Transactivation R-HSA-3371571,0.721451147754488,2.319974954072493,0.0,0.013339155980785266,0.005,6/13,4.69%,HSPA1A;HSPH1;PTGES3;HSP90AA1;HSPA8;HSP90AB1,Excitatory,interaction_FX,reactome
prerank,Adipogenesis,0.5892559031764416,2.3164214295669687,0.0,0.0,0.0,24/36,21.08%,ELOVL6;BCL6;ATP1B3;HIBCH;SNCG;SOD1;MGLL;APLP2;GHITM;UBQLN1;APOE;NDUFA5;RTN3;MGST3;SPARCL1;UBC;G3BP2;PFKFB3;YWHAG;GPX4;CHCHD10;REEP5;QDPR;RNF11,Neuron,interaction_FX,hallmark
prerank,Cellular Response To Heat Stress R-HSA-3371556,0.6640854414754627,2.3122635293569918,0.0,0.0019435623479932454,0.002,15/24,18.51%,HSPA5;HSPH1;HSPA4L;HSPA8;RANBP2;HSP90AA1;PTGES3;UBB;DNAJB6;HSP90AB1;HSPA1A;CRYAB;YWHAE;EEF1A1;HSPA12A,Neuron,interaction_FX,reactome
prerank,Regulation Of HSF1-mediated Heat Shock Response R-HSA-3371453,0.7839381116271473,2.3080558672770595,0.0,0.0012957082319954968,0.002,8/13,6.31%,HSPA5;HSPH1;HSPA4L;HSPA8;RANBP2;UBB;DNAJB6;HSPA1A,Neuron,interaction_FX,reactome
prerank,Neutrophil Degranulation R-HSA-6798695,0.4690290849705795,2.307160246315687,0.0,0.006669577990392633,0.005,19/65,8.46%,FTL;HSPA1A;FTH1;HSP90AA1;CST3;EEF1A1;TIMP2;CYFIP1;CAB39;HSPA8;HSP90AB1;RAP1A;PTPRJ;XRCC5;DYNLL1;CTSB;RAB10;RAB14;ITM2C,Excitatory,interaction_FX,reactome
prerank,Cellular Response To Starvation R-HSA-9711097,0.8265898641500082,2.3057868686277376,0.0,0.0005092076728610282,0.001,9/15,11.09%,FNIP1;ATP6V0C;ATP6V1D;ATP6V1B2;ATP6V1C1;ATP6V0B;ATP6V1G1;ATP6V1F;RHEB,Endothelial,region_FX,reactome
prerank,Amino Acids Regulate mTORC1 R-HSA-9639288,0.8265898641500082,2.3057868686277376,0.0,0.0005092076728610282,0.001,9/15,11.09%,FNIP1;ATP6V0C;ATP6V1D;ATP6V1B2;ATP6V1C1;ATP6V0B;ATP6V1G1;ATP6V1F;RHEB,Endothelial,region_FX,reactome
prerank,Neuronal System R-HSA-112316,0.4802032605832527,2.2356727029436425,0.0,0.0008654036638897289,0.001,74/164,24.31%,KCNH5;SLC6A1;GRIK1;LRFN2;GABBR2;NLGN4X;SNAP25;TSPAN7;CACNB2;CAMK4;GRIN2B;KCND2;NRXN1;IL1RAPL2;KCNA1;KCNJ6;GABRG2;NCALD;SLC1A2;GLRB;GABRG3;KCNK1;SLITRK4;GRIA4;LRRC7;LRRTM4;GRIK4;CACNA1B;RASGRF1;GNG7;CACNG2;GRM5;SYN2;NEFL;KCNA2;IL1RAPL1;NLGN1;GABRA4;GABRB3;ABAT;APBA1;ARHGEF9;KCNB2;GRIK3;GRIA2;PTPRD;CALM1;SYT1;RIMS1;KCNH8;GAD1;SHANK2;GRIN3A;CAMK2A;CACNA1E;GABRA1;KCNAB1;ADCY1;GABRB1;PPM1E;GNB5;GABRA2;PTPRS;DLG1;DLGAP4;PRKAR1B;MAPT;NRG1;KCNC2;NBEA;ADCY8;HSPA8;CACNA1A;ERBB4,Astrocyte,interaction_SC,reactome
prerank,Myc Targets V1,0.767340953002413,2.2350872170107308,0.0,0.0,0.0,20/26,17.55%,PPIA;NAP1L1;HNRNPC;PTGES3;RAN;YWHAE;HSP90AB1;AP3S1;HPRT1;EIF1AX;PGK1;YWHAQ;VDAC1;CANX;SLC25A3;EIF4G2;PSMD1;HNRNPA3;FAM120A;HNRNPU,Inhibitory,region_FX,hallmark
prerank,SARS-CoV Infections R-HSA-9679506,0.5284172292818476,2.210439726842579,0.0,0.001500496487808466,0.001,35/77,21.72%,TRAF3;MGAT5;PTGES3;SH3KBP1;ST6GALNAC3;NR3C1;HSP90AB1;MGAT4A;GPC5;SEC24D;RB1;TAB2;AP2M1;ATP1A2;HSP90AA1;B2M;UBC;VPS41;ST6GAL1;NRP1;SOS1;GALNT1;PDPK1;ISCU;JAK2;PARP8;GJA1;PLCG2;UBB;LARP1;GRB2;ROCK1;MAN2A1;AP2A2;GSK3B,Oligodendrocyte,interaction_FX,reactome
prerank,mTORC1 Signaling,0.5900097696031064,2.208751697524853,0.0,0.0,0.0,21/41,18.05%,TXNRD1;TPI1;CANX;PPIA;GOT1;GAPDH;MLLT11;DHFR;HPRT1;HSP90B1;HSPA5;ATP6V1D;PPA1;ATP2A2;TUBA4A;PGK1;ACSL3;ACTR2;QDPR;SLC2A3;ENO1,Inhibitory,region_MCX,hallmark
prerank,Transmission Across Chemical Synapses R-HSA-112315,0.5064541030903514,2.1960010883462475,0.0,0.0012981054958345934,0.003,52/111,24.31%,SLC6A1;GRIK1;GABBR2;SNAP25;TSPAN7;CACNB2;CAMK4;GRIN2B;KCNJ6;GABRG2;NCALD;SLC1A2;GLRB;GABRG3;GRIA4;LRRC7;GRIK4;CACNA1B;RASGRF1;GNG7;CACNG2;SYN2;NEFL;GABRA4;GABRB3;ABAT;APBA1;ARHGEF9;GRIK3;GRIA2;CALM1;SYT1;RIMS1;GAD1;GRIN3A;CAMK2A;CACNA1E;GABRA1;ADCY1;GABRB1;PPM1E;GNB5;GABRA2;DLG1;PRKAR1B;MAPT;NRG1;NBEA;ADCY8;HSPA8;CACNA1A;ERBB4,Astrocyte,interaction_SC,reactome
prerank,GABA Receptor Activation R-HSA-977443,0.6439107764009245,2.1935971583758485,0.0,0.004756285834585215,0.005,14/23,16.27%,GABRA1;GABRB2;GABRA2;GABRG2;GABBR2;KCNJ3;GABRB1;GABRB3;GABRA4;ADCY8;GABRG3;ADCY2;ADCY1;NPTN,Neuron,interaction_SC,reactome
prerank,Phase 0 - Rapid Depolarisation R-HSA-5576892,0.7236473498895861,2.1856604878327075,0.0,0.014262941521939762,0.006,8/17,10.15%,CAMK2B;SCN1A;SCN8A;CAMK2G;SCN1B;CALM1;CACNG8;CAMK2A,Inhibitory,global_condition,reactome
prerank,MHC Class II Antigen Presentation R-HSA-2132295,0.5798957567857332,2.1824001631876127,0.0,0.007774249391972981,0.015,21/30,25.69%,OSBPL1A;PRICKLE1;KIF5C;DYNC1I2;CANX;KIF3A;CD74;CAPZB;KIFAP3;KIF2A;CLTC;DYNLL2;DYNLL1;AP2M1;CAPZA2;KLC1;CTSB;CLTA;DYNC1LI2;DYNC1H1;KIF3C,Neuron,interaction_FX,reactome
prerank,UV Response Up,0.6535895442057449,2.18230683633225,0.0,0.00040611885745228107,0.001,18/24,23.48%,ENO2;ATP6V1F;OLFM1;EIF5;BSG;SLC25A4;TUBA4A;DNAJA1;AMD1;CNP;PLCL1;SELENOW;IL6ST;HNRNPU;ATP6V1C1;TMBIM6;GLS;CHKA,Inhibitory,region_MCX,hallmark
prerank,HSP90 Chaperone Cycle For Steroid Hormone Receptors (SHR) In Presence Of Ligand R-HSA-3371497,0.6467653446190547,2.1785722061979853,0.0,0.017785541307713686,0.02,9/17,6.65%,HSPA1A;PTGES3;HSP90AA1;CAPZB;DYNC1I2;DNAJA1;HSPA8;HSP90AB1;DYNLL1,Excitatory,interaction_FX,reactome
